Название;Город;Web-сайт;Адрес;ФИО;Должность;E-mail;Телефон;Сотовый;Дата;Активность
Тестовый клиент 18;Пермь;www.website.ru18;614030, г.Пермь, ул. Ленина, 18;Красноперов Яков Юрьевич;Руководитель;client@ya.ru18; +7(342)2000017; +7(912)9000017;2014-04-09;Звонок
Тестовый клиент 19;Пермь;www.website.ru19;614030, г.Пермь, ул. Ленина, 19;Мишкелеев Егор Васильевич;Руководитель;client@ya.ru19; +7(342)2000018; +7(912)9000018;2014-04-10;Звонок
Тестовый клиент 20;Пермь;www.website.ru20;614030, г.Пермь, ул. Ленина, 20;Сердюкник Николай Викторович;Директор;client@ya.ru20; +7(342)2000019; +7(912)9000019;2014-04-11;Звонок
Тестовый клиент 21;Пермь;www.website.ru21;614030, г.Пермь, ул. Ленина, 21;Перевалов Игорь Алексеевич;Директор;client@ya.ru21; +7(342)2000020; +7(912)9000020;2014-04-12;Звонок
Тестовый клиент 22;Пермь;www.website.ru22;614030, г.Пермь, ул. Ленина, 22;Воробьев Сергей;Директор;client@ya.ru22; +7(342)2000021; +7(912)9000021;2014-04-13;Звонок
Тестовый клиент 23;Пермь;www.website.ru23;614030, г.Пермь, ул. Ленина, 23;Петров Алексей Викторович;Руководитель;client@ya.ru23; +7(342)2000022; +7(912)9000022;2014-04-14;Звонок
Тестовый клиент 24;Пермь;www.website.ru24;614030, г.Пермь, ул. Ленина, 24;Ширинкин Константин Рудольфович;Руководитель;client@ya.ru24; +7(342)2000023; +7(912)9000023;2014-04-15;Звонок
Тестовый клиент 25;Пермь;www.website.ru25;614030, г.Пермь, ул. Ленина, 25;Поникаровский Михаил;Руководитель;client@ya.ru25; +7(342)2000024; +7(912)9000024;2014-04-16;Звонок
Тестовый клиент 26;Пермь;www.website.ru26;614030, г.Пермь, ул. Ленина, 26;Аликин Андрей;Менеджер;client@ya.ru26; +7(342)2000025; +7(912)9000025;2014-04-17;Звонок
Тестовый клиент 27;Пермь;www.website.ru27;614030, г.Пермь, ул. Ленина, 27;Красноперов Алексей Михайлович;Руководитель;client@ya.ru27; +7(342)2000026; +7(912)9000026;2014-04-18;Звонок
Тестовый клиент 28;Пермь;www.website.ru28;614030, г.Пермь, ул. Ленина, 28;Есипенко Павел Валерьевич;Руководитель;client@ya.ru28; +7(342)2000027; +7(912)9000027;2014-04-19;Звонок
Тестовый клиент 29;Пермь;www.website.ru29;614030, г.Пермь, ул. Ленина, 29;Гусев Василий Вячеславович;Технический директор;client@ya.ru29; +7(342)2000028; +7(912)9000028;2014-04-20;Звонок
Тестовый клиент 30;Пермь;www.website.ru30;614030, г.Пермь, ул. Ленина, 30;Меньков Александр Александрович;Начальник отдела продаж;client@ya.ru30; +7(342)2000029; +7(912)9000029;2014-04-21;Звонок
Тестовый клиент 31;Пермь;www.website.ru31;614030, г.Пермь, ул. Ленина, 31;Устинов Вадим Владимирович;Менеджер;client@ya.ru31; +7(342)2000030; +7(912)9000030;2014-04-22;Звонок
Тестовый клиент 32;Пермь;www.website.ru32;614030, г.Пермь, ул. Ленина, 32;Субботин Евгений Львович;Руководитель;client@ya.ru32; +7(342)2000031; +7(912)9000031;2014-04-23;Звонок
Тестовый клиент 33;Пермь;www.website.ru33;614030, г.Пермь, ул. Ленина, 33;Шехтман Елена;Директор;client@ya.ru33; +7(342)2000032; +7(912)9000032;2014-04-24;Звонок
Тестовый клиент 34;Пермь;www.website.ru34;614030, г.Пермь, ул. Ленина, 34;Спирин Алексей Валерьевич;Менеджер;client@ya.ru34; +7(342)2000033; +7(912)9000033;2014-04-25;Звонок
Тестовый клиент 35;Пермь;www.website.ru35;614030, г.Пермь, ул. Ленина, 35;Спирин Алексей Валерьевич;Менеджер;client@ya.ru35; +7(342)2000034; +7(912)9000034;2014-04-26;Звонок
Тестовый клиент 36;Пермь;www.website.ru36;614030, г.Пермь, ул. Ленина, 36;Миков Игорь;Менеджер;client@ya.ru36; +7(342)2000035; +7(912)9000035;2014-04-27;Звонок
Тестовый клиент 37;Пермь;www.website.ru37;614030, г.Пермь, ул. Ленина, 37;Семенов Андрей Николаевич;Руководитель отдела корпоративных продаж;client@ya.ru37; +7(342)2000036; +7(912)9000036;2014-04-28;Звонок
Тестовый клиент 38;Пермь;www.website.ru38;614030, г.Пермь, ул. Ленина, 38;Иваницкий Сергей Евгеньевич;Зам.ген.директора;client@ya.ru38; +7(342)2000037; +7(912)9000037;2014-04-29;Звонок
Тестовый клиент 39;Пермь;www.website.ru39;614030, г.Пермь, ул. Ленина, 39;Мясников Денис;Зам.ген.директора;client@ya.ru39; +7(342)2000038; +7(912)9000038;2014-04-30;Звонок
Тестовый клиент 40;Пермь;www.website.ru40;614030, г.Пермь, ул. Ленина, 40;Бельков Дмитрий;Директор;client@ya.ru40; +7(342)2000039; +7(912)9000039;2014-05-01;Звонок
Тестовый клиент 41;Пермь;www.website.ru41;614030, г.Пермь, ул. Ленина, 41;Чикуров Сергей Владимирович;Директор;client@ya.ru41; +7(342)2000040; +7(912)9000040;2014-05-02;Звонок
Тестовый клиент 42;Пермь;www.website.ru42;614030, г.Пермь, ул. Ленина, 42;Штинов Алексей;Специалист отдела логистики;client@ya.ru42; +7(342)2000041; +7(912)9000041;2014-05-03;Звонок
Тестовый клиент 43;Пермь;www.website.ru43;614030, г.Пермь, ул. Ленина, 43;Мансуров Самат Асхатович;Менеджер;client@ya.ru43; +7(342)2000042; +7(912)9000042;2014-05-04;Звонок
Тестовый клиент 44;Пермь;www.website.ru44;614030, г.Пермь, ул. Ленина, 44;Марков Сергей Анатольевич;Директор;client@ya.ru44; +7(342)2000043; +7(912)9000043;2014-05-05;Звонок
Тестовый клиент 45;Пермь;www.website.ru45;614030, г.Пермь, ул. Ленина, 45;Григоров Андрей;Менеджер;client@ya.ru45; +7(342)2000044; +7(912)9000044;2014-05-06;Звонок
Тестовый клиент 46;Пермь;www.website.ru46;614030, г.Пермь, ул. Ленина, 46;Хомов Дмитрий Юрьевич;Менеджер;client@ya.ru46; +7(342)2000045; +7(912)9000045;2014-05-07;Звонок
Тестовый клиент 47;Пермь;www.website.ru47;614030, г.Пермь, ул. Ленина, 47;Костарев Александр Анатольевич;Директор;client@ya.ru47; +7(342)2000046; +7(912)9000046;2014-05-08;Звонок
